Serotype,Stage,Feature,Pearson_r,Abs_r,P_value
IP1,deae,deae_child2_xto_common_20x__34_1,-0.0804,0.0804,0.4565
IP1,deae,deae_child2_xto_control_20x__19_1,-0.0804,0.0804,0.4563
IP1,deae,deae_child2_xto_outlet_20x__24_1,-0.0804,0.0804,0.4565
IP1,deae,deae_child2_xto_inlet_20x__9_1,0.0789,0.0789,0.4651
IP1,deae,deae_sensor_PI_A2_max,0.0788,0.0788,0.4657
IP1,deae,deae_sensor_RunCalc_UV_ForIntegral_v2_mean,0.0787,0.0787,0.4659
IP1,deae,deae_child2_xto_outlet_20x__14_1,0.0785,0.0785,0.4671
IP1,deae,ev_deae_up12_mean_duration_h,0.078,0.078,0.47
IP1,deae,deae_child2_xto_common_20x__33_1,0.0774,0.0774,0.4733
IP1,deae,DEAE_DEAE - Stock duration pool PG,0.0769,0.0769,0.4762
IP1,deae,deae_child2_xto_inline_201__15_1,0.0753,0.0753,0.4859
IP1,deae,deae_child2_xto_common_20x__37_1,0.0752,0.0752,0.486
IP1,deae,deae_sensor_Accumulated Volume_mean,0.075,0.075,0.4872
IP1,deae,deae_child2_xto_prompt__10_1,0.0729,0.0729,0.4995
IP1,deae,deae_sensor_XV-O1_ZSO_std,0.0728,0.0728,0.5004
IP1,deae,deae_sensor_PI_A2_min,-0.0723,0.0723,0.5031
IP1,deae,ev_pg_deae_up1_mean_duration_h,0.0719,0.0719,0.5055
IP1,deae,DEAE_DEAE - volume HCl [ml],0.0718,0.0718,0.5063
IP1,deae,deae_sensor_Accumulated Volume_min,-0.0712,0.0712,0.5097
IP1,deae,deae_child2_xto_inline_201__8_1,0.0712,0.0712,0.51
IP1,deae,deae_child2_xto_control_20x__26_1,-0.0707,0.0707,0.5128
IP1,deae,deae_child2_xto_common_20x__39_1,-0.0706,0.0706,0.5136
IP1,deae,deae_child2_xto_outlet_20x__18_1,-0.0705,0.0705,0.5137
IP1,deae,deae_child2_xto_common_20x__42_1,0.0703,0.0703,0.5149
IP1,deae,deae_child2_xto_alarm_201__4_1,0.0702,0.0702,0.5159
IP1,deae,DEAE_DEAE - Hydratation duration [Minute],0.0699,0.0699,0.5176
IP1,deae,deae_child2_xto_prompt__1_1,0.0691,0.0691,0.5223
IP1,deae,deae_child2_xto_common_20x__14_1,0.069,0.069,0.5227
IP1,deae,deae_child2_xto_control_20x__3_1,0.069,0.069,0.5227
IP1,deae,deae_child2_xto_control_20x__24_1,0.0689,0.0689,0.5233
IP1,deae,deae_sensor_RunCalc_UV_DuringHarvest_min,0.0684,0.0684,0.5268
IP1,deae,deae_child2_xto_inlet_20x__15_1,-0.0677,0.0677,0.5307
IP1,deae,deae_sub_pc3,0.0677,0.0677,0.5307
IP1,deae,deae_child2_xto_common_20x__43_1,0.0676,0.0676,0.5314
IP1,deae,deae_child2_xto_control_20x__30_1,0.0676,0.0676,0.5314
IP1,deae,deae_sensor_PIC_I1_std,0.0647,0.0647,0.5494
IP1,deae,deae_sensor_AI_A1_mean,-0.0641,0.0641,0.5527
IP1,deae,DEAE_DEAE - Height of gel [Centimeter],0.064,0.064,0.5534
IP1,deae,DEAE_DEAE - Volume of gel [Liter],0.064,0.064,0.5534
IP1,deae,deae_child2_xto_common_20x__3_1,0.0635,0.0635,0.5564
IP1,deae,deae_child2_xto_control_20x__17_1,0.0635,0.0635,0.5564
IP1,deae,deae_child2_xto_prompt__2_1,0.0627,0.0627,0.5614
IP1,deae,deae_sensor_PIC_A1_mean,0.0611,0.0611,0.5716
IP1,deae,deae_sensor_MT_I1_OUT_max,0.0609,0.0609,0.5732
IP1,deae,deae_sensor_AI_A3_max,-0.0603,0.0603,0.5766
IP1,deae,deae_child2_xto_common_20x__6_1,-0.0591,0.0591,0.5845
IP1,deae,deae_sensor_TI_A1_max,0.0572,0.0572,0.5965
IP1,deae,deae_child2_xto_control_20x__35_1,0.0571,0.0571,0.597
IP1,deae,deae_child1_op12_batch_process_deae_1_1,0.056,0.056,0.6044
IP1,deae,deae_child2_xto_common_20x__29_1,-0.056,0.056,0.6041
IP1,deae,deae_sensor_AI_A1_std,-0.0544,0.0544,0.6148
IP1,deae,deae_child2_xto_prompt__4_1,-0.054,0.054,0.6173
IP1,deae,deae_child2_xto_inlet_20x__20_1,-0.0535,0.0535,0.6209
IP1,deae,deae_sensor_XV-O1_ZSO_mean,-0.0525,0.0525,0.6268
IP1,deae,deae_sub_pc5,0.0521,0.0521,0.6295
IP1,deae,DEAE_PG - % elimination prot. [%],-0.052,0.052,0.6306
IP1,deae,deae_sensor_AI_A2_max,-0.0516,0.0516,0.6332
IP1,deae,ev_pg_deae_up5_mean_duration_h,-0.0502,0.0502,0.6423
IP1,deae,ev_pg_deae_up5_max_duration_h,-0.0501,0.0501,0.6428
IP1,deae,deae_sensor_MT_I1_OUT_mean,-0.0491,0.0491,0.6497
IP1,deae,deae_child2_xto_common_20x__5_1,0.0488,0.0488,0.6518
IP1,deae,ev_pg_deae_up5_n_events,-0.0482,0.0482,0.6555
IP1,deae,deae_sensor_AI_A1_max,-0.0479,0.0479,0.658
IP1,deae,deae_child2_xto_cip_201__2_1,0.0474,0.0474,0.6613
IP1,deae,deae_child2_xto_common_20x__11_1,0.0474,0.0474,0.6613
IP1,deae,deae_child2_xto_inline_201__17_1,0.0474,0.0474,0.661
IP1,deae,ev_pg_up4_total_duration_h,-0.0473,0.0473,0.6618
IP1,deae,deae_child2_xto_outlet_20x__2_1,0.0467,0.0467,0.6655
IP1,deae,ev_pg_deae_up1_n_events,0.0463,0.0463,0.6681
IP1,deae,deae_child2_xto_prompt__13_1,0.0463,0.0463,0.6681
IP1,deae,ev_pg_deae_up5_total_duration_h,0.0454,0.0454,0.6745
IP1,deae,deae_sensor_MT_I2_OUT_std,0.0452,0.0452,0.6756
IP1,deae,deae_sensor_PI_A2_std,0.0451,0.0451,0.6768
IP1,deae,DEAE_DEAE - pH pool DEAE,0.0449,0.0449,0.6779
IP1,deae,deae_child2_xto_control_20x__34_1,-0.0448,0.0448,0.6788
IP1,deae,deae_sensor_PIC_I1_mean,0.0444,0.0444,0.6813
IP1,deae,deae_child2_xto_control_20x__29_1,0.0437,0.0437,0.6863
IP1,deae,deae_sensor_AI_A2_min,0.0434,0.0434,0.6882
IP1,deae,deae_child2_xto_outlet_20x__20_1,0.0432,0.0432,0.6895
IP1,deae,deae_child2_xto_prompt__7_1,0.0432,0.0432,0.6892
IP1,deae,DEAE_018 DEAE - Max load prot/g Gel,-0.0426,0.0426,0.6937
IP1,deae,deae_child2_xto_inline_201__6_1,0.0426,0.0426,0.6933
IP1,deae,deae_child2_xto_inlet_20x__3_1,0.042,0.042,0.6974
IP1,deae,deae_child2_xto_outlet_20x__7_1,0.0417,0.0417,0.6999
IP1,deae,deae_sensor_MT_I2_OUT_mean,-0.0416,0.0416,0.7002
IP1,deae,ev_deae_up12_n_events,0.0406,0.0406,0.7072
IP1,deae,deae_child2_xto_cip_201__7_1,-0.0397,0.0397,0.7133
IP1,deae,deae_sensor_TI_A1_std,0.0396,0.0396,0.7141
IP1,deae,deae_sensor_PIC_I1_max,0.0392,0.0392,0.7169
IP1,deae,deae_child2_xto_inline_201__18_1,0.0387,0.0387,0.7204
IP1,deae,deae_child2_xto_control_20x__2_1,0.0386,0.0386,0.7209
IP1,deae,deae_child2_xto_inlet_20x__8_1,0.0386,0.0386,0.7212
IP1,deae,deae_child2_xto_common_20x__13_1,0.0384,0.0384,0.7225
IP1,deae,deae_child2_xto_common_20x__16_1,0.0374,0.0374,0.7297
IP1,deae,deae_sensor_TI_A2_std,0.0356,0.0356,0.7416
IP1,deae,DEAE_PG - Purification factor,0.0355,0.0355,0.7428
IP1,deae,deae_sensor_AI_A3_mean,-0.0355,0.0355,0.7428
IP1,deae,deae_sensor_PIC_I1_OUT_mean,-0.0353,0.0353,0.7444
IP1,deae,deae_sensor_UV Elution_std,0.035,0.035,0.7461
IP1,deae,deae_child2_xto_common_20x__20_1,0.034,0.034,0.7535
IP1,deae,deae_child2_xto_control_20x__5_1,0.034,0.034,0.7535
IP1,deae,deae_child2_xto_inline_201__4_1,0.033,0.033,0.7604
IP1,deae,deae_sensor_AI_A2_std,-0.0316,0.0316,0.7704
IP1,deae,deae_child2_xto_alarm_201__5_1,0.0301,0.0301,0.7805
IP1,deae,deae_sensor_MT_I1_OUT_min,-0.0294,0.0294,0.7854
IP1,deae,deae_child2_xto_common_20x__28_1,0.0291,0.0291,0.7875
IP1,deae,deae_child2_xto_inline_201__9_1,0.0285,0.0285,0.7922
IP1,deae,DEAE_026 DEAE - Bioburden [CFU/ml],-0.0284,0.0284,0.7931
IP1,deae,deae_child2_xto_common_20x__27_1,0.0274,0.0274,0.8
IP1,deae,deae_child2_xto_inline_201__14_1,0.0274,0.0274,0.8003
IP1,deae,deae_child2_xto_outlet_20x__5_1,0.0274,0.0274,0.7998
IP1,deae,deae_child2_xto_control_20x__13_1,0.0273,0.0273,0.8006
IP1,deae,deae_child2_xto_common_20x__26_1,0.027,0.027,0.8027
IP1,deae,deae_child2_xto_control_20x__12_1,0.0265,0.0265,0.8064
IP1,deae,ev_deae_up12_std_duration_h,0.0262,0.0262,0.8088
IP1,deae,deae_child2_xto_common_20x__57_1,-0.0248,0.0248,0.8187
IP1,deae,deae_child2_xto_prompt__16_1,-0.0248,0.0248,0.8187
IP1,deae,ev_pg_deae_up1_std_duration_h,0.0229,0.0229,0.8326
IP1,deae,deae_child1_op13_user_request_2_1,0.0224,0.0224,0.8361
IP1,deae,deae_child2_xto_control_20x__1_1,0.0224,0.0224,0.8358
IP1,deae,deae_child2_xto_inlet_20x__1_1,0.0224,0.0224,0.8358
IP1,deae,DEAE_DEAE - Volume harvested ml [ml],0.0218,0.0218,0.8401
IP1,deae,deae_child2_xto_control_20x__31_1,-0.0217,0.0217,0.8408
IP1,deae,deae_child2_xto_inline_201__16_1,-0.0217,0.0217,0.8408
IP1,deae,deae_child2_xto_outlet_20x__16_1,-0.0217,0.0217,0.8408
IP1,deae,deae_sensor_AI_A3_min,0.0214,0.0214,0.8431
IP1,deae,DEAE_DEAE - equilibration pH IN,0.0207,0.0207,0.848
IP1,deae,deae_sensor_PIC_I1_OUT_min,0.0203,0.0203,0.8512
IP1,deae,deae_sensor_UV Light_max,-0.02,0.02,0.8533
IP1,deae,deae_child2_xto_inlet_20x__17_1,-0.0199,0.0199,0.8539
IP1,deae,deae_child2_xto_common_20x__22_1,-0.0181,0.0181,0.867
IP1,deae,deae_child2_xto_common_20x__7_1,-0.018,0.018,0.8679
IP1,deae,deae_sensor_MT_I1_OUT_std,0.0179,0.0179,0.8684
IP1,deae,DEAE_PG - % elimination prot tot [%],-0.0166,0.0166,0.8776
IP1,deae,deae_child2_xto_cip_201__4_1,-0.0154,0.0154,0.8869
IP1,deae,deae_child2_xto_cip_201__10_1,0.0145,0.0145,0.8936
IP1,deae,deae_child2_xto_common_20x__41_1,0.0145,0.0145,0.8937
IP1,deae,deae_child2_xto_control_20x__28_1,0.0144,0.0144,0.8942
IP1,deae,deae_child2_xto_common_20x__24_1,-0.0143,0.0143,0.8947
IP1,deae,deae_child2_xto_inlet_20x__7_1,0.0143,0.0143,0.8948
IP1,deae,deae_child2_xto_control_20x__9_1,-0.014,0.014,0.8967
IP1,deae,deae_child2_xto_outlet_20x__1_1,0.0138,0.0138,0.8981
IP1,deae,deae_child2_xto_cip_201__1_1,0.0131,0.0131,0.9037
IP1,deae,deae_child2_xto_inlet_20x__11_1,-0.0125,0.0125,0.9083
IP1,deae,deae_sensor_FIC_C11_mean,0.012,0.012,0.9116
IP1,deae,deae_sensor_PI_A2_mean,0.0117,0.0117,0.9141
IP1,deae,deae_child2_xto_inline_201__2_1,0.011,0.011,0.9186
IP1,deae,deae_sensor_UV Light_min,0.0106,0.0106,0.9221
IP1,deae,deae_child2_xto_control_20x__25_1,0.0106,0.0106,0.9218
IP1,deae,deae_child2_xto_inline_201__22_1,0.0106,0.0106,0.9219
IP1,deae,deae_child2_xto_common_20x__49_1,0.0104,0.0104,0.9233
IP1,deae,deae_child2_xto_outlet_20x__19_1,0.0104,0.0104,0.9232
IP1,deae,deae_child2_xto_control_20x__18_1,-0.0088,0.0088,0.9354
